"name" "party" "age" "sex"
"ACHILLE TOTARO" "Alleanza Nazionale" "56" "M"
"EDMONDO CIRIELLI" "Alleanza Nazionale" "57" "M"
"FABIO RAMPELLI" "Alleanza Nazionale" "61" "M"
"GAETANO NASTRI" "Alleanza Nazionale" "53" "M"
"GIORGIA MELONI" "Alleanza Nazionale" "44" "F"
"IGNAZIO BENITO MARIA LA RUSSA" "Alleanza Nazionale" "74" "M"
"MARCELLO TAGLIALATELA" "Alleanza Nazionale" "66" "M"
"MASSIMO ENRICO CORSARO" "Alleanza Nazionale" "58" "M"
"PASQUALE MAIETTA" "Alleanza Nazionale" "50" "M"
"ALBERTO GIORGETTI" "Forza Italia (Il Popolo della Liberta')" "54" "M"
"ANNAGRAZIA CALABRIA" "Forza Italia (Il Popolo della Liberta')" "39" "F"
"ANTONIO ANGELUCCI" "Forza Italia (Il Popolo della Liberta')" "77" "M"
"ANTONIO DISTASO" "Forza Italia (Il Popolo della Liberta')" "55" "M"
"ANTONIO MAROTTA" "Forza Italia (Il Popolo della Liberta')" "74" "M"
"ANTONIO MARTINO" "Forza Italia (Il Popolo della Liberta')" "79" "M"
"ANTONIO PALMIERI" "Forza Italia (Il Popolo della Liberta')" "60" "M"
"BENEDETTO FRANCESCO FUCCI" "Forza Italia (Il Popolo della Liberta')" "69" "M"
"BRUNO ARCHI" "Forza Italia (Il Popolo della Liberta')" "59" "M"
"CARLO SARRO" "Forza Italia (Il Popolo della Liberta')" "62" "M"
"CATIA POLIDORI" "Forza Italia (Il Popolo della Liberta')" "54" "F"
"COSIMO LATRONICO" "Forza Italia (Il Popolo della Liberta')" "63" "M"
"DANIELA GARNERO SANTANCHE'" "Forza Italia (Il Popolo della Liberta')" "60" "F"
"DANIELE CAPEZZONE" "Forza Italia (Il Popolo della Liberta')" "49" "M"
"DEBORAH BERGAMINI" "Forza Italia (Il Popolo della Liberta')" "54" "F"
"ELENA CENTEMERO" "Forza Italia (Il Popolo della Liberta')" "53" "F"
"ELIO MASSIMO PALMIZIO" "Forza Italia (Il Popolo della Liberta')" "67" "M"
"ELIO VITO" "Forza Italia (Il Popolo della Liberta')" "61" "M"
"ELVIRA SAVINO" "Forza Italia (Il Popolo della Liberta')" "44" "F"
"FABRIZIO DI STEFANO" "Forza Italia (Il Popolo della Liberta')" "56" "M"
"FRANCESCO CATANOSO GENOESE" "Forza Italia (Il Popolo della Liberta')" "58" "M"
"FRANCESCO PAOLO SISTO" "Forza Italia (Il Popolo della Liberta')" "66" "M"
"FRANCESCO SAVERIO ROMANO" "Forza Italia (Il Popolo della Liberta')" "57" "M"
"GABRIELLA GIAMMANCO" "Forza Italia (Il Popolo della Liberta')" "44" "F"
"GIANCARLO GALAN" "Forza Italia (Il Popolo della Liberta')" "65" "M"
"GIANFRANCO GIOVANNI CHIARELLI" "Forza Italia (Il Popolo della Liberta')" "63" "M"
"GIANFRANCO ROTONDI" "Forza Italia (Il Popolo della Liberta')" "61" "M"
"GIORGIO LAINATI" "Forza Italia (Il Popolo della Liberta')" "63" "M"
"GIOVANNA PETRENGA" "Forza Italia (Il Popolo della Liberta')" "65" "F"
"GIOVANNI CARLO FRANCESCO MOTTOLA" "Forza Italia (Il Popolo della Liberta')" "75" "M"
"GIUSEPPE GALATI" "Forza Italia (Il Popolo della Liberta')" "60" "M"
"GIUSEPPE ROMELE" "Forza Italia (Il Popolo della Liberta')" "70" "M"
"GIUSEPPINA CASTIELLO" "Forza Italia (Il Popolo della Liberta')" "50" "F"
"GREGORIO FONTANA" "Forza Italia (Il Popolo della Liberta')" "58" "M"
"GUGLIELMO PICCHI" "Forza Italia (Il Popolo della Liberta')" "48" "M"
"IGNAZIO ABRIGNANI" "Forza Italia (Il Popolo della Liberta')" "63" "M"
"JOLE SANTELLI" "Forza Italia (Il Popolo della Liberta')" "53" "F"
"LAURA RAVETTO" "Forza Italia (Il Popolo della Liberta')" "50" "F"
"LORENA MILANATO" "Forza Italia (Il Popolo della Liberta')" "59" "F"
"LUCA D'ALESSANDRO" "Forza Italia (Il Popolo della Liberta')" "56" "M"
"LUCA SQUERI" "Forza Italia (Il Popolo della Liberta')" "60" "M"
"LUIGI CESARO" "Forza Italia (Il Popolo della Liberta')" "69" "M"
"MARCO MARTINELLI" "Forza Italia (Il Popolo della Liberta')" "59" "M"
"MARIA ROSARIA CARFAGNA" "Forza Italia (Il Popolo della Liberta')" "46" "F"
"MARIASTELLA GELMINI" "Forza Italia (Il Popolo della Liberta')" "48" "F"
"MASSIMO PARISI" "Forza Italia (Il Popolo della Liberta')" "53" "M"
"MAURIZIO BIANCONI" "Forza Italia (Il Popolo della Liberta')" "75" "M"
"MICHAELA BIANCOFIORE" "Forza Italia (Il Popolo della Liberta')" "51" "F"
"MICHELA VITTORIA BRAMBILLA" "Forza Italia (Il Popolo della Liberta')" "54" "F"
"MONICA FAENZI" "Forza Italia (Il Popolo della Liberta')" "56" "F"
"NICOLA CIRACI'" "Forza Italia (Il Popolo della Liberta')" "52" "M"
"PAOLO RUSSO" "Forza Italia (Il Popolo della Liberta')" "61" "M"
"PAOLO VELLA" "Forza Italia (Il Popolo della Liberta')" "71" "M"
"PIERO LONGO" "Forza Italia (Il Popolo della Liberta')" "77" "M"
"PIETRO LAFFRANCO" "Forza Italia (Il Popolo della Liberta')" "51" "M"
"RAFFAELE FITTO" "Forza Italia (Il Popolo della Liberta')" "52" "M"
"RENATA POLVERINI" "Forza Italia (Il Popolo della Liberta')" "59" "F"
"RENATO BRUNETTA" "Forza Italia (Il Popolo della Liberta')" "71" "M"
"RICCARDO ANTONIO GALLO AFFLITTO" "Forza Italia (Il Popolo della Liberta')" "54" "M"
"ROBERTO MARTI" "Forza Italia (Il Popolo della Liberta')" "47" "M"
"ROBERTO OCCHIUTO" "Forza Italia (Il Popolo della Liberta')" "52" "M"
"ROCCO CRIMI" "Forza Italia (Il Popolo della Liberta')" "62" "M"
"ROCCO PALESE" "Forza Italia (Il Popolo della Liberta')" "68" "M"
"SALVATORE CICU" "Forza Italia (Il Popolo della Liberta')" "64" "M"
"SANDRA SAVINO" "Forza Italia (Il Popolo della Liberta')" "61" "F"
"SANDRO MARIO BIASOTTI" "Forza Italia (Il Popolo della Liberta')" "73" "M"
"SESTINO GIACOMONI" "Forza Italia (Il Popolo della Liberta')" "54" "M"
"SETTIMO NIZZI" "Forza Italia (Il Popolo della Liberta')" "64" "M"
"SIMONE BALDELLI" "Forza Italia (Il Popolo della Liberta')" "49" "M"
"STEFANIA PRESTIGIACOMO" "Forza Italia (Il Popolo della Liberta')" "55" "F"
"TRIFONE ALTIERI" "Forza Italia (Il Popolo della Liberta')" "46" "M"
"VALENTINO VALENTINI" "Forza Italia (Il Popolo della Liberta')" "59" "M"
"ANGELO GIOACHINO GAETANO ATTAGUILE" "Lega Nord" "74" "M"
"CRISTIAN INVERNIZZI" "Lega Nord" "44" "M"
"DAVIDE CARLO CAPARINI" "Lega Nord" "54" "M"
"EMANUELE PRATAVIERA" "Lega Nord" "36" "M"
"FILIPPO BUSIN" "Lega Nord" "54" "M"
"GIANCARLO GIORGETTI" "Lega Nord" "55" "M"
"GIANLUCA BUONANNO" "Lega Nord" "55" "M"
"GIANLUCA PINI" "Lega Nord" "48" "M"
"GIOVANNI FAVA" "Lega Nord" "53" "M"
"GUIDO GUIDESI" "Lega Nord" "42" "M"
"MARCO MARCOLIN" "Lega Nord" "64" "M"
"MARCO RONDINI" "Lega Nord" "53" "M"
"MASSIMILIANO FEDRIGA" "Lega Nord" "41" "M"
"MATTEO BRAGANTINI" "Lega Nord" "46" "M"
"NICOLA MOLTENI" "Lega Nord" "45" "M"
"PAOLO GRIMOLDI" "Lega Nord" "46" "M"
"ROBERTO CAON" "Lega Nord" "58" "M"
"ROBERTO SIMONETTI" "Lega Nord" "48" "M"
"RUDI FRANCO MARGUERETTAZ" "Lega Nord" "64" "M"
"STEFANO ALLASIA" "Lega Nord" "47" "M"
"STEFANO BORGHESI" "Lega Nord" "44" "M"
"UMBERTO BOSSI" "Lega Nord" "80" "M"
"ALESSANDRO SARO ALFONSO PAGANO" "Area Popolare" "62" "M"
"ANGELO CERA" "Area Popolare" "69" "M"
"ANTONINO BOSCO" "Area Popolare" "42" "M"
"ANTONINO MINARDO" "Area Popolare" "43" "M"
"ANTONIO LEONE" "Area Popolare" "73" "M"
"BARBARA SALTAMARTINI" "Area Popolare" "49" "F"
"BEATRICE LORENZIN" "Area Popolare" "50" "F"
"DORINA BIANCHI" "Area Popolare" "55" "F"
"ENRICO COSTA" "Area Popolare" "52" "M"
"EUGENIA MARIA ROCCELLA" "Area Popolare" "68" "F"
"FABRIZIO CICCHITTO" "Area Popolare" "81" "M"
"FERDINANDO ADORNATO" "Area Popolare" "67" "M"
"FILIPPO PICCONE" "Area Popolare" "60" "M"
"GIANFRANCO SAMMARCO" "Area Popolare" "71" "M"
"GIANPIERO D'ALIA" "Area Popolare" "55" "M"
"GIOACCHINO ALFANO" "Area Popolare" "58" "M"
"GIUSEPPE DE MITA" "Area Popolare" "53" "M"
"MAURIZIO BERNARDO" "Area Popolare" "58" "M"
"MAURIZIO ENZO LUPI" "Area Popolare" "62" "M"
"NUNZIA DE GIROLAMO" "Area Popolare" "46" "F"
"PAOLA BINETTI" "Area Popolare" "78" "F"
"PAOLO ALLI" "Area Popolare" "71" "M"
"PAOLO TANCREDI" "Area Popolare" "55" "M"
"RAFFAELE CALABRO'" "Area Popolare" "74" "M"
"RAFFAELLO VIGNALI" "Area Popolare" "58" "M"
"ROCCO BUTTIGLIONE" "Area Popolare" "73" "M"
"ROSANNA SCOPELLITI" "Area Popolare" "38" "F"
"SALVATORE MISURACA" "Area Popolare" "64" "M"
"SERGIO PIZZOLANTE" "Area Popolare" "60" "M"
"VINCENZO GAROFALO" "Area Popolare" "63" "M"
"VINCENZO PISO" "Area Popolare" "63" "M"
"ANGELA ROSARIA NISSOLI" "Per l'Italia: Centro Democratico" "58" "F"
"DOMENICO ROSSI" "Per l'Italia: Centro Democratico" "70" "M"
"FEDERICO FAUTTILLI" "Per l'Italia: Centro Democratico" "73" "M"
"GAETANO PIEPOLI" "Per l'Italia: Centro Democratico" "74" "M"
"GIAN LUIGI GIGLI" "Per l'Italia: Centro Democratico" "69" "M"
"LORENZO DELLAI" "Per l'Italia: Centro Democratico" "62" "M"
"MARIO CARUSO" "Per l'Italia: Centro Democratico" "66" "M"
"MARIO MARAZZITI" "Per l'Italia: Centro Democratico" "69" "M"
"MARIO SBERNA" "Per l'Italia: Centro Democratico" "61" "M"
"MAURIZIO BARADELLO" "Per l'Italia: Centro Democratico" "61" "M"
"MILENA SANTERINI" "Per l'Italia: Centro Democratico" "68" "F"
"ADRIANA EDEN SUSANNA GALGANO" "Scelta Civica per Monti" "58" "F"
"ALBERTO BOMBASSEI" "Scelta Civica per Monti" "81" "M"
